run.number,step,p.transition,conform.fixation,sample.size,population,mean.p.conform,mean.conform,mean.action,conformist.mortality,contrarian.mortality,environment
4,0,0.02,TRUE,50,1000,1,1,0.536,0,0,0
6,0,0.03,TRUE,50,1000,1,1,0.493,0,0,0
7,0,0.04,TRUE,5,1000,1,1,0.528,0,0,0
8,0,0.04,TRUE,50,1000,1,1,0.508,0,0,1
3,0,0.02,TRUE,5,1000,1,1,0.48,0,0,0
5,0,0.03,TRUE,5,1000,1,1,0.481,0,0,1
2,0,0.01,TRUE,50,1000,1,1,0.523,0,0,1
1,0,0.01,TRUE,5,1000,1,1,0.506,0,0,1
5,1,0.03,TRUE,5,1000,0.999328837,0.999,0.466,0,0,1
4,1,0.02,TRUE,50,1000,0.999122022,0.999,0.809,0,0,0
6,1,0.03,TRUE,50,1000,0.999728304,1,0.135,0,0,0
2,1,0.01,TRUE,50,1000,0.999815015,1,0.926,0,0,1
8,1,0.04,TRUE,50,1000,0.999796877,0.999,0.863,0,0,1
1,1,0.01,TRUE,5,1000,0.999533916,1,0.531,0,0,1
7,1,0.04,TRUE,5,1000,0.999243668,0.999,0.595,0,0,0
3,1,0.02,TRUE,5,1000,0.999523504,1,0.409,0,0,1
5,2,0.03,TRUE,5,1000,0.998823807,0.999,0.476,0.137137137,0,1
4,2,0.02,TRUE,50,1000,0.998528754,0.998,0.908,0.199199199,0,0
2,2,0.01,TRUE,50,1000,0.99966089,1,0.981,0,0,1
6,2,0.03,TRUE,50,1000,0.999536169,1,0.019,0,0,0
8,2,0.04,TRUE,50,1000,0.999611423,0.999,0.977,0.049049049,0,1
7,2,0.04,TRUE,5,1000,0.998548124,0.999,0.717,0.168168168,0,0
1,2,0.01,TRUE,5,1000,0.999137647,1,0.613,0,0,1
5,3,0.03,TRUE,5,1000,0.998503566,0.999,0.474,0.135135135,0,1
4,3,0.02,TRUE,50,1000,0.997737304,0.998,0.907,0.199398798,0,0
3,2,0.02,TRUE,5,1000,0.99868562,0.998,0.262,0,0,1
8,3,0.04,TRUE,50,1000,0.999503222,0.998,0.976,0.049049049,0,1
2,3,0.01,TRUE,50,1000,0.999516651,1,0.977,0,0,1
6,3,0.03,TRUE,50,1000,0.999378479,1,0.026,0,0,0
7,3,0.04,TRUE,5,1000,0.997907046,0.999,0.824,0.188188188,0,0
5,4,0.03,TRUE,5,1000,0.998022043,0.997,0.456,0.124124124,0,0
1,3,0.01,TRUE,5,1000,0.99879317,1,0.762,0,0,1
4,4,0.02,TRUE,50,1000,0.997156957,0.998,0.899,0.199398798,0,0
8,4,0.04,TRUE,50,1000,0.999309535,0.998,0.971,0.049098196,0,1
3,3,0.02,TRUE,5,1000,0.997836065,0.997,0.119,0.195390782,0,1
2,4,0.01,TRUE,50,1000,0.999385793,1,0.974,0,0,1
6,4,0.03,TRUE,50,1000,0.999284845,1,0.026,0,0,0
5,5,0.03,TRUE,5,1000,0.99786546,0.997,0.312,0.100300903,0,0
7,4,0.04,TRUE,5,1000,0.997253484,0.997,0.879,0.197197197,0,0
1,4,0.01,TRUE,5,1000,0.998569339,1,0.942,0,0,1
4,5,0.02,TRUE,50,1000,0.996402155,0.996,0.896,0.199398798,0,0
8,5,0.04,TRUE,50,1000,0.999193649,0.998,0.973,0.049098196,0,1
