run.number,step,p.transition,conform.fixation,sample.size,population,mean.p.conform,var.p.conform
1,7500,0,TRUE,25,1000,0.964418623,0.001177642
7,7500,0.1,TRUE,25,1000,0.75298058,0.008774323
3,7500,0,TRUE,25,1000,0.963703198,0.001119349
5,7500,0.1,TRUE,25,1000,0.810409442,0.01113084
4,7500,0,TRUE,25,1000,0.963208912,0.001044702
8,7500,0.1,TRUE,25,1000,0.820620422,0.01487375
6,7500,0.1,TRUE,25,1000,0.793718409,0.008623141
2,7500,0,TRUE,25,1000,0.957731156,0.00143144
9,7500,0.2,TRUE,25,1000,0.705049591,0.007279531
11,7500,0.2,TRUE,25,1000,0.783151428,0.010572969
10,7500,0.2,TRUE,25,1000,0.708595729,0.026663456
12,7500,0.2,TRUE,25,1000,0.706246503,0.017874128
13,7500,0.3,TRUE,25,1000,0.737174599,0.009470507
14,7500,0.3,TRUE,25,1000,0.715448674,0.014363528
15,7500,0.3,TRUE,25,1000,0.682380949,0.019291014
16,7500,0.3,TRUE,25,1000,0.76325093,0.012464292
17,7500,0.4,TRUE,25,1000,0.85798522,0.00793575
19,7500,0.4,TRUE,25,1000,0.720698642,0.015933001
18,7500,0.4,TRUE,25,1000,0.697907638,0.014043562
20,7500,0.4,TRUE,25,1000,0.68248437,0.041051879
22,7500,0.5,TRUE,25,1000,0.502729153,0.039929523
21,7500,0.5,TRUE,25,1000,0.467970525,0.018393907
23,7500,0.5,TRUE,25,1000,0.384778637,0.068867417
24,7500,0.5,TRUE,25,1000,0.387504456,0.045742773
25,7500,0.6,TRUE,25,1000,0.317615149,0.009762118
26,7500,0.6,TRUE,25,1000,0.321375632,0.046287913
27,7500,0.6,TRUE,25,1000,0.32467722,0.0308372
28,7500,0.6,TRUE,25,1000,0.497370085,0.026304122
29,7500,0.7,TRUE,25,1000,0.094438003,0.005281758
30,7500,0.7,TRUE,25,1000,0.344282669,0.024805748
31,7500,0.7,TRUE,25,1000,0.178545115,0.017829465
32,7500,0.7,TRUE,25,1000,0.153624489,0.00675414
33,7500,0.8,TRUE,25,1000,0.205775356,0.009148218
34,7500,0.8,TRUE,25,1000,0.278710545,0.009996428
35,7500,0.8,TRUE,25,1000,0.08557999,0.006319077
36,7500,0.8,TRUE,25,1000,0.300514659,0.01929705
37,7500,0.9,TRUE,25,1000,0.178863597,0.023357159
38,7500,0.9,TRUE,25,1000,0.146151791,0.011739525
39,7500,0.9,TRUE,25,1000,0.091363811,0.004514131
40,7500,0.9,TRUE,25,1000,0.300256746,0.006235183
41,7500,1,TRUE,25,1000,0.124409501,0.01158112
42,7500,1,TRUE,25,1000,0.177949708,0.01257441
44,7500,1,TRUE,25,1000,0.701920992,0.009459536
43,7500,1,TRUE,25,1000,0.101796644,0.006306189
