run.number,step,p.transition,conform.fixation,sample.size,population,mean.p.conform,var.p.conform
4,7500,0.25,TRUE,5,1000,0.891334235,0.007573481
3,7500,0.25,TRUE,5,1000,0.834403907,0.016412271
2,7500,0.25,TRUE,5,1000,0.83303872,0.013785299
1,7500,0.25,TRUE,5,1000,0.832762138,0.014298559
8,7500,0.25,TRUE,10,1000,0.794505532,0.008927827
6,7500,0.25,TRUE,10,1000,0.770917013,0.024972751
7,7500,0.25,TRUE,10,1000,0.779113542,0.007124284
5,7500,0.25,TRUE,10,1000,0.711816145,0.034330371
9,7500,0.25,TRUE,15,1000,0.787471819,0.012996664
10,7500,0.25,TRUE,15,1000,0.789903377,0.010067141
13,7500,0.25,TRUE,20,1000,0.664170532,0.013668581
11,7500,0.25,TRUE,15,1000,0.695605538,0.012389968
12,7500,0.25,TRUE,15,1000,0.748640602,0.02101971
14,7500,0.25,TRUE,20,1000,0.732499218,0.008408725
15,7500,0.25,TRUE,20,1000,0.75968938,0.019458516
16,7500,0.25,TRUE,20,1000,0.715575838,0.016575196
18,7500,0.25,TRUE,25,1000,0.745931187,0.009235678
17,7500,0.25,TRUE,25,1000,0.734907878,0.010229378
19,7500,0.25,TRUE,25,1000,0.679239823,0.016566459
20,7500,0.25,TRUE,25,1000,0.742140732,0.009311611
21,7500,0.25,TRUE,30,1000,0.801964015,0.015870161
22,7500,0.25,TRUE,30,1000,0.670103885,0.019486545
23,7500,0.25,TRUE,30,1000,0.707228249,0.01687871
24,7500,0.25,TRUE,30,1000,0.666817724,0.019607789
26,7500,0.25,TRUE,35,1000,0.802417146,0.008470454
25,7500,0.25,TRUE,35,1000,0.719594609,0.017135234
27,7500,0.25,TRUE,35,1000,0.856874549,0.008361359
28,7500,0.25,TRUE,35,1000,0.678970716,0.010011141
30,7500,0.25,TRUE,40,1000,0.790063987,0.003578579
31,7500,0.25,TRUE,40,1000,0.692548322,0.005217084
29,7500,0.25,TRUE,40,1000,0.672423356,0.021857103
32,7500,0.25,TRUE,40,1000,0.671171607,0.019699738
34,7500,0.25,TRUE,45,1000,0.736805288,0.02212885
33,7500,0.25,TRUE,45,1000,0.754550322,0.010523209
35,7500,0.25,TRUE,45,1000,0.657012164,0.017545186
36,7500,0.25,TRUE,45,1000,0.652476838,0.016710092
38,7500,0.25,TRUE,50,1000,0.726722955,0.006284416
37,7500,0.25,TRUE,50,1000,0.737740647,0.020824573
39,7500,0.25,TRUE,50,1000,0.653060159,0.024282791
40,7500,0.25,TRUE,50,1000,0.715987846,0.024800258
